image_id,image_path,role,label,method,tube_conf,roi_conf,mean_au,p95_au,sat_frac
solo_test_pos_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_2x_02.jpg,solo,pos,G_ratio,0.8618,0.8183,247.940720,252.806030,0.286385
solo_test_pos_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_2x_02.jpg,solo,pos,ExG,0.8618,0.8183,203.710602,255.000000,0.286385
solo_test_pos_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,solo,pos,G,0.8536,0.8182,244.695206,255.000000,0.288019
solo_test_pos_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,solo,pos,HSV_V,0.8536,0.8182,248.011383,255.000000,0.288019
solo_test_pos_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,solo,pos,GRAY,0.8536,0.8182,224.277191,233.000000,0.288019
solo_test_pos_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,solo,pos,HSV_S,0.8536,0.8182,195.307617,198.000000,0.288019
solo_test_pos_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,solo,pos,G_norm,0.8536,0.8182,113.310699,114.750000,0.288019
solo_test_pos_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,solo,pos,G_ratio,0.8536,0.8182,246.892654,252.515915,0.288019
solo_test_pos_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,solo,pos,ExG,0.8536,0.8182,196.122665,247.153839,0.288019
solo_test_pos_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,solo,pos,G,0.8618,0.8183,244.668228,255.000000,0.286385
solo_test_pos_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,solo,pos,HSV_V,0.8618,0.8183,247.956665,255.000000,0.286385
solo_test_pos_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,solo,pos,GRAY,0.8618,0.8183,224.309006,233.000000,0.286385
solo_test_pos_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,solo,pos,HSV_S,0.8618,0.8183,195.127274,197.000000,0.286385
solo_test_pos_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,solo,pos,G_norm,0.8618,0.8183,113.256706,114.499107,0.286385
solo_test_pos_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,solo,pos,G_ratio,0.8618,0.8183,247.940720,252.806030,0.286385
solo_test_pos_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,solo,pos,ExG,0.8618,0.8183,203.710602,255.000000,0.286385
solo_test_pos_r_0_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_r_0_1.jpg,solo,pos,G,0.8618,0.8183,244.668228,255.000000,0.286385
solo_test_pos_r_0_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_r_0_1.jpg,solo,pos,HSV_V,0.8618,0.8183,247.956665,255.000000,0.286385
solo_test_pos_r_0_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_r_0_1.jpg,solo,pos,GRAY,0.8618,0.8183,224.309006,233.000000,0.286385
solo_test_pos_r_0_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_r_0_1.jpg,solo,pos,HSV_S,0.8618,0.8183,195.127274,197.000000,0.286385
